OBJECTID,ZCTA5CE10,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,43451,1,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
2,43452,2,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
3,43460,3,1,0.008782091,0,0,0,0,0,0
4,43464,4,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
5,97824,5,8,0.070256728,0.20954822,0.41909644,0.20954822,0.33645528,0.065255743,2.69164224
6,97825,6,12,0.105385093,0.374851257,0.682239592,0.307388335,0.547835007,0.104447098,6.574020088
7,97826,7,9,0.07903882,0.093712814,0.296345919,0.202633105,0.192916527,0.061370232,1.736248739
8,97827,8,5,0.043910455,0.337886333,0.468564063,0.13067773,0.392204589,0.049967764,1.961022943
9,97828,9,21,0.184423912,0,0.504658937,0.504658937,0.293150807,0.159067366,6.156166948
10,97830,10,20,0.175641821,0.468564063,0.88408488,0.415520817,0.722821777,0.098607345,14.45643553
11,97833,11,4,0.035128364,0.132529929,0.265059859,0.132529929,0.204171557,0.047163877,0.816686228
12,97834,12,7,0.061474637,0.374851257,0.592691839,0.217840582,0.448845369,0.074459834,3.141917586
13,97835,13,3,0.026346273,0.28113842,0.296345919,0.015207499,0.291276753,0.007168884,0.873830259
14,97836,14,31,0.272244823,0,0.386387825,0.386387825,0.211417042,0.089416887,6.553928316
15,97837,15,4,0.035128364,0.265059859,0.397589773,0.132529914,0.324220471,0.049615469,1.296881884
16,97838,16,6,0.052692546,0,0.20954822,0.20954822,0.123175333,0.072934105,0.739051998
17,97839,17,7,0.061474637,0.20954822,0.296345919,0.086797699,0.248035531,0.034750477,1.736248717
18,97840,18,5,0.043910455,0.504658937,0.592691839,0.088032901,0.54878763,0.03059511,2.743938148
19,97842,19,22,0.193206003,0.386387825,0.655989707,0.269601882,0.523475598,0.064852968,11.51646316
20,97843,20,11,0.096603002,0.265059859,0.546434879,0.281375021,0.373749191,0.080084946,4.111241102
21,97844,21,2,0.017564182,0.093712814,0.187425628,0.093712814,0.140569221,0.046856407,0.281138442
22,97845,22,3,0.026346273,0,0.187425628,0.187425628,0.093712814,0.076516192,0.281138442
23,97846,23,27,0.237116459,0.132529929,0.546434879,0.41390495,0.355036757,0.110388033,9.585992441
24,97848,24,6,0.052692546,0.570032775,0.682239592,0.112206817,0.61771521,0.043732804,3.706291258
25,97850,25,9,0.07903882,0,0.296345919,0.296345919,0.150594831,0.081208582,1.355353475
26,97856,26,15,0.131731366,0.28113842,0.570032775,0.288894355,0.424535392,0.080842468,6.368030876
27,97857,27,9,0.07903882,0.093712814,0.374851257,0.281138442,0.245997362,0.076412524,2.213976257
28,97859,28,4,0.035128364,0.265059859,0.337886333,0.072826475,0.298909508,0.025875353,1.195638031
29,97862,29,6,0.052692546,0.187425628,0.337886333,0.150460705,0.245754686,0.050427696,1.474528119
30,97864,30,14,0.122949275,0.374851257,0.570032775,0.195181519,0.479964031,0.065129234,6.719496429
31,97865,31,11,0.096603002,0.093712814,0.386387825,0.292675011,0.218524999,0.080846241,2.403774984
32,97867,32,3,0.026346273,0.265059859,0.296345919,0.031286061,0.285917232,0.014748391,0.857751697
33,97868,33,12,0.105385093,0.132529929,0.468564063,0.336034134,0.28238188,0.089896505,3.388582557
34,97869,34,11,0.096603002,0.28113842,0.570032775,0.288894355,0.385946602,0.082022824,4.245412618
35,97870,35,5,0.043910455,0.504658937,0.628644645,0.123985708,0.571661007,0.040667977,2.858305037
36,97873,36,3,0.026346273,0.187425628,0.296345919,0.108920291,0.254969989,0.048162901,0.764909968
37,97874,37,8,0.070256728,0.504658937,0.83819288,0.333533943,0.656953529,0.103970645,5.255628228
38,97875,38,2,0.017564182,0.093712814,0.187425628,0.093712814,0.140569221,0.046856407,0.281138442
39,97876,39,2,0.017564182,0.20954822,0.265059859,0.055511639,0.237304039,0.027755819,0.474608079
40,97877,40,7,0.061474637,0.28113842,0.570032775,0.288894355,0.494572103,0.093938712,3.462004721
41,97880,41,10,0.087820911,0.41909644,0.570032775,0.150936335,0.511728454,0.049748631,5.117284536
42,97882,42,1,0.008782091,0,0,0,0,0,0
43,97883,43,10,0.087820911,0.28113842,0.41909644,0.13795802,0.353665456,0.047550607,3.536654562
44,94131,44,1,0.008782091,0,0,0,0,0,0
45,42409,45,2,0.017564182,0.20954822,0.265059859,0.055511639,0.237304039,0.027755819,0.474608079
46,48755,46,1,0.008782091,0,0,0,0,0,0
47,42411,47,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
48,42413,48,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
49,48756,49,2,0.017564182,0,0,0,0,0,0
50,48757,50,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
51,39532,51,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
52,48759,52,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
53,39540,53,1,0.008782091,0,0,0,0,0,0
54,48760,54,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
55,48761,55,3,0.026346273,0.093712814,0.187425628,0.093712814,0.137889457,0.03844534,0.413668372
56,42420,56,6,0.052692546,0,0.187425628,0.187425628,0.115801136,0.064453703,0.694806814
57,39556,57,4,0.035128364,0.093712814,0.187425628,0.093712814,0.126845296,0.038398615,0.507381186
58,48763,58,2,0.017564182,0,0,0,0,0,0
59,48765,59,2,0.017564182,0.132529929,0.187425628,0.054895699,0.159977779,0.02744785,0.319955558
60,48766,60,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
61,39560,61,1,0.008782091,0,0,0,0,0,0
62,48767,62,3,0.026346273,0.093712814,0.132529929,0.038817115,0.106651853,0.018298564,0.319955558
63,42431,63,6,0.052692546,0,0.187425628,0.187425628,0.106651853,0.057115683,0.639911115
64,42436,64,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
65,48768,65,5,0.043910455,0,0.093712814,0.093712814,0.074970251,0.037485126,0.374851257
66,48770,66,3,0.026346273,0.093712814,0.132529929,0.038817115,0.106651853,0.018298564,0.319955558
67,39562,67,5,0.043910455,0.093712814,0.28113842,0.187425606,0.180871002,0.064579114,0.904355012
68,42437,68,6,0.052692546,0,0.187425628,0.187425628,0.115801136,0.064453703,0.694806814
69,95825,69,1,0.008782091,0,0,0,0,0,0
70,95828,70,1,0.008782091,0,0,0,0,0,0
71,95829,71,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
72,95831,72,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
73,95832,73,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
74,33573,74,1,0.008782091,0,0,0,0,0,0
75,37336,75,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
76,37337,76,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
77,37338,77,3,0.026346273,0.132529929,0.20954822,0.077018291,0.176501259,0.032377571,0.529503778
78,37339,78,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
79,37340,79,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
80,33578,80,2,0.017564182,0.093712814,0.093712814,0,0.093712814,0,0.187425628
81,37342,81,4,0.035128364,0.093712814,0.187425628,0.093712814,0.136549575,0.033375425,0.546198301
82,33585,82,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
83,33592,83,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
84,37343,84,1,0.008782091,0,0,0,0,0,0
85,37345,85,2,0.017564182,0.132529929,0.20954822,0.077018291,0.171039075,0.038509145,0.342078149
86,33594,86,1,0.008782091,0,0,0,0,0,0
87,37347,87,1,0.008782091,0,0,0,0,0,0
88,37348,88,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
89,61820,89,1,0.008782091,0,0,0,0,0,0
90,53406,90,1,0.008782091,0,0,0,0,0,0
91,53502,91,2,0.017564182,0.20954822,0.265059859,0.055511639,0.237304039,0.027755819,0.474608079
92,53503,92,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
93,53504,93,4,0.035128364,0.132529929,0.20954822,0.077018291,0.179232351,0.028436015,0.716929406
94,53505,94,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
95,53506,95,2,0.017564182,0.187425628,0.20954822,0.022122592,0.198486924,0.011061296,0.396973848
96,53507,96,2,0.017564182,0.132529929,0.20954822,0.077018291,0.171039075,0.038509145,0.342078149
97,53508,97,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
98,61822,98,3,0.026346273,0.093712814,0.132529929,0.038817115,0.106651853,0.018298564,0.319955558
99,53510,99,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
100,61830,100,1,0.008782091,0.20954822,0.20954822,0,0.20954822,0,0.20954822
101,53511,101,3,0.026346273,0,0.093712814,0.093712814,0.031237605,0.044176644,0.093712814
102,53515,102,1,0.008782091,0.187425628,0.187425628,0,0.187425628,0,0.187425628
103,53516,103,3,0.026346273,0.20954822,0.265059859,0.055511639,0.2280521,0.026168437,0.684156299
104,53517,104,2,0.017564182,0.20954822,0.265059859,0.055511639,0.237304039,0.027755819,0.474608079
105,53518,105,3,0.026346273,0.132529929,0.20954822,0.077018291,0.183875456,0.03630677,0.551626369
106,53520,106,4,0.035128364,0.187425628,0.28113842,0.093712792,0.234282024,0.046856396,0.937128097
107,53521,107,3,0.026346273,0.132529929,0.20954822,0.077018291,0.183875456,0.03630677,0.551626369
108,61834,108,4,0.035128364,0,0.132529929,0.132529929,0.056560686,0.058201866,0.226242743
109,53522,109,2,0.017564182,0.132529929,0.20954822,0.077018291,0.171039075,0.038509145,0.342078149
110,53523,110,2,0.017564182,0.132529929,0.187425628,0.054895699,0.159977779,0.02744785,0.319955558
111,61841,111,2,0.017564182,0.132529929,0.20954822,0.077018291,0.171039075,0.038509145,0.342078149
112,53525,112,2,0.017564182,0.093712814,0.187425628,0.093712814,0.140569221,0.046856407,0.281138442
113,02458,113,1,0.008782091,0,0,0,0,0,0
114,02493,114,1,0.008782091,0,0,0,0,0,0
115,75102,115,2,0.017564182,0.132529929,0.187425628,0.054895699,0.159977779,0.02744785,0.319955558
116,75103,116,6,0.052692546,0.132529929,0.296345919,0.16381599,0.231209246,0.060215238,1.387255475
117,75104,117,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
118,75105,118,2,0.017564182,0.20954822,0.28113842,0.0715902,0.24534332,0.0357951,0.49068664
119,75109,119,3,0.026346273,0.093712814,0.187425628,0.093712814,0.137889457,0.03844534,0.413668372
120,75110,120,4,0.035128364,0,0.093712814,0.093712814,0.070284611,0.040578839,0.281138442
121,75115,121,1,0.008782091,0,0,0,0,0,0
122,75117,122,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
123,75119,123,7,0.061474637,0,0.20954822,0.20954822,0.121351334,0.063973596,0.849459335
124,75124,124,2,0.017564182,0.187425628,0.20954822,0.022122592,0.198486924,0.011061296,0.396973848
125,75125,125,2,0.017564182,0.132529929,0.20954822,0.077018291,0.171039075,0.038509145,0.342078149
126,75126,126,3,0.026346273,0.093712814,0.132529929,0.038817115,0.119590891,0.018298564,0.358772673
127,75135,127,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
128,48472,128,3,0.026346273,0.132529929,0.187425628,0.054895699,0.169127062,0.025878081,0.507381186
129,48473,129,2,0.017564182,0,0.093712814,0.093712814,0.046856407,0.046856407,0.093712814
130,42025,130,6,0.052692546,0,0.20954822,0.20954822,0.110338951,0.062656337,0.662033707
131,48475,131,3,0.026346273,0,0.132529929,0.132529929,0.075414248,0.055630769,0.226242743
132,42027,132,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
133,42028,133,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
134,42029,134,2,0.017564182,0.093712814,0.132529929,0.038817115,0.113121372,0.019408558,0.226242743
135,42031,135,5,0.043910455,0,0.132529929,0.132529929,0.090497097,0.048464264,0.452485487
