OBJECTID,NAME,XCoord,YCoord,LATIT,LONGI,
1,Arizona State Hospital,-112.0243292,33.4528158,33.452816,-112.024329,
2,Arizona State Hospital Farm (historical),-111.9984796,33.4619884,33.461988,-111.99848,
3,Arizona State Sanatorium (historical),-111.9409775,33.4408782,33.440878,-111.940977,
4,Camelback Hospital,-112.0076471,33.5119872,33.511987,-112.007647,
5,Phoenix Children's Hospital,-112.0400546,33.479384,33.479384,-112.040055,
6,Elks Hospital,-111.0087045,32.2359092,32.235909,-111.008704,
7,Banner Good Samaritan Medical Center,-112.0585904,33.4650217,33.465022,-112.05859,
8,Grunow Memorial Clinic,-112.061815,33.4661546,33.466155,-112.061815,
9,HonorHealth John C Lincoln Medical Center,-112.0707913,33.5694691,33.569469,-112.070791,
10,Sun View Care Center,-112.302251,33.595592,33.595592,-112.302251,
11,North Mountain Hospital,-112.071261,33.5800412,33.580041,-112.071261,
12,Northwest Hospital,-112.1893202,33.5536519,33.553652,-112.18932,
13,Phoenix Medical Center (historical),-112.0487594,33.4958762,33.495876,-112.048759,
14,Pima Hospital,-111.7517997,33.0825556,33.082556,-111.7518,
15,Saint Josephs Hospital and Medical Center,-112.0792195,33.4812264,33.481226,-112.079219,
16,Saint Luke's Medical Center,-112.0421789,33.4548109,33.454811,-112.042179,
17,Carondelet Saint Mary's Hospital and Health Center,-111.0002593,32.2281237,32.228124,-111.000259,
18,Salt River Pima - Maricopa Indian Community Health Center,-111.8595172,33.4870529,33.487053,-111.859517,
19,Banner Boswell Medical Center,-112.2831997,33.6040179,33.604018,-112.2832,
20,Dignity Health Chandler Regional Medical Center,-111.8746748,33.2971821,33.297182,-111.874675,
21,Banner Desert Medical Center,-111.8775618,33.3892257,33.389226,-111.877562,
22,Humana Phoenix Hospital,-112.035981,33.4794877,33.479488,-112.035981,
23,Maricopa Medical Center,-112.0262123,33.4576619,33.457662,-112.026212,
24,Maricopa County Veterinary Center,-112.0268133,33.426989,33.426989,-112.026813,
25,Abrazo Community Health Network Maryvale Campus,-112.1708178,33.5026808,33.502681,-112.170818,
26,Promise Hospital of Phoenix,-111.8213696,33.425368,33.425368,-111.82137,
27,Mesa Lutheran Hospital,-111.8415299,33.4342125,33.434213,-111.84153,
28,Abrazo Community Health Netwoek Central Campus,-112.1020782,33.525288,33.525288,-112.102078,
29,The Surgical Hospital of Phoneix,-112.0989825,33.5321291,33.532129,-112.098982,
30,Phoenix General Hospital (historical),-112.1007055,33.4955982,33.495598,-112.100705,
31,Phoenix Memorial Hospital,-112.0811276,33.4356257,33.435626,-112.081128,
32,Scottsdale Community Hospital (historical),-111.8984766,33.4653224,33.465322,-111.898477,
33,HonorHealth Scottsdale Osborn Medical Center,-111.9228526,33.4884138,33.488414,-111.922853,
34,Maricopa Integrated Health System Mesa Family Health Center,-111.825377,33.414658,33.414658,-111.825377,
35,Tempe Saint Luke's Hospital,-111.9405805,33.4122754,33.412275,-111.94058,
36,Valley View Community Hospital (historical),-112.3026584,33.595317,33.595317,-112.302658,
37,Carl T Hayden VA Medical Center,-112.0664167,33.496285,33.496285,-112.066417,
38,Wickenburg Community Hospital,-112.7397502,33.9783693,33.978369,-112.73975,
39,Adoration Sanctuary Hospital (historical),-110.9264791,32.2328538,32.232854,-110.926479,
40,Carl Hayden Hospital (historical),-110.9762032,32.220354,32.220354,-110.976203,
41,Comstock Childrens Hospital (historical),-110.9559247,32.2403536,32.240354,-110.955925,
42,Davis Monthan Air Force Base Hospital,-110.8595916,32.1732711,32.173271,-110.859592,
43,Sells Indian Hospital,-111.8904529,31.9183088,31.918309,-111.890453,
44,New Cornelia Branch Hospital (historical),-112.864599,32.3681139,32.368114,-112.864599,
45,Oshrin Hospital,-110.9406463,32.2356315,32.235632,-110.940646,
46,Pima County General Hospital (historical),-110.9700917,32.1889657,32.188966,-110.970092,
47,Rincon Sanitorium (historical),-110.6961936,32.1161898,32.11619,-110.696194,
48,Carondelet Saint Joseph's Hospital,-110.8548401,32.2265613,32.226561,-110.85484,
49,Saint Lukes in the Desert Hospital (historical),-110.9617582,32.2411869,32.241187,-110.961758,
50,Pasadena Dodge Clinic,-110.9127985,32.2529416,32.252942,-110.912798,
51,Southern Arizona Veterans Affairs Heath Care System Main Campus,-110.964627,32.181258,32.181258,-110.964627,
52,Banner - University Medical Center Tucson Campus,-110.9459427,32.2405002,32.2405,-110.945943,
53,Flagstaff Medical Center,-111.6438675,35.2088123,35.208812,-111.643867,
54,North Country Community Health Center Grand Canyon Clinic,-112.1287932,36.0478592,36.047859,-112.128793,
55,Tuba City Regional Health Care Center,-111.2373023,36.1358882,36.135888,-111.237302,
56,Bagdad Community Health Center,-113.1831421,34.5774869,34.577487,-113.183142,
57,Chinle Extended Care Center,-109.6064973,36.1597258,36.159726,-109.606497,
58,Sage Memorial Hospital,-109.5434119,35.7107327,35.710733,-109.543412,
59,Benson Hospital,-110.3081627,31.9650448,31.965045,-110.308163,
60,Southeast Arizona Medical Center,-109.5949878,31.3646267,31.364627,-109.594988,
61,Northern Cochise Community Hospital,-109.8382387,32.265002,32.265002,-109.838239,
62,Northern Cochise Community Hospital,-109.8339572,32.2722958,32.272296,-109.833957,
63,Raymond W Bliss Army Hospital,-110.3525804,31.548706,31.548706,-110.35258,
64,Sierra Vista Regional Health Center,-110.27162,31.55159,31.55159,-110.27162,
65,Public Health Services Indian Hospital San Carlos Service Unit,-110.4542458,33.3537968,33.353797,-110.454246,
66,Safford Inn Hospital,-109.7109135,32.8292326,32.829233,-109.710913,
67,La Paz Regional Hospital,-114.2850527,34.1364243,34.136424,-114.285053,
68,Parker Public Health Services Indian Hospital Colorado River Service Unit,-114.3017543,34.14745,34.14745,-114.301754,
69,Mohave County Hospital,-114.0405062,35.2130532,35.213053,-114.040506,
70,Department of Health Indian Hospital,-110.1923475,35.8130616,35.813062,-110.192347,
71,Holbrook Hospital (historical),-110.1556768,34.9091926,34.909193,-110.155677,
72,Little Colorado Medical Center,-110.6923468,35.0357823,35.035782,-110.692347,
73,Yuma Regional Medical Center,-114.6349572,32.68291,32.68291,-114.634957,
74,Kennecott Cooper Corporation Hospital,-110.91011,33.0592308,33.059231,-110.91011,
75,Florence Community Healthcare Facility,-111.3937114,33.0268764,33.026876,-111.393711,
