OBJECTID,ZIP_CODE,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,00014,1,30,0.263462732,0.093712814,0.628644645,0.534931831,0.368710129,0.126423951,11.06130386
2,00015,2,2,0.017564182,0.20954822,0.265059859,0.055511639,0.237304039,0.027755819,0.474608079
3,00016,3,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
4,00017,4,19,0.16685973,0.187425628,0.600054801,0.412629172,0.342497133,0.0966577,6.507445529
5,00018,5,3,0.026346273,0.132529929,0.265059859,0.132529929,0.202379336,0.054342066,0.607138008
6,00019,6,15,0.131731366,0.386387825,0.662649632,0.276261806,0.557596211,0.087084052,8.36394316
7,00020,7,12,0.105385093,0.132529929,0.374851257,0.242321327,0.269597193,0.069946328,3.235166311
8,00026,8,42,0.368847824,0.265059859,0.570032775,0.304972917,0.406568971,0.081115588,17.0758968
9,00028,9,3,0.026346273,0.28113842,0.337886333,0.056747913,0.305123558,0.023984253,0.915370673
10,00031,10,1,0.008782091,0.132529929,0.132529929,0,0.132529929,0,0.132529929
11,00032,11,18,0.158077639,0.093712814,0.41909644,0.325383626,0.281128894,0.082679366,5.060320087
12,00034,12,7,0.061474637,0.337886333,0.570032775,0.232146442,0.474930985,0.072691778,3.324516892
13,00035,13,30,0.263462732,0.132529929,0.628644645,0.496114716,0.395079597,0.123137672,11.85238791
14,00037,14,3,0.026346273,0.592691839,0.682239592,0.089547753,0.643640379,0.037586163,1.930921137
15,00038,15,14,0.122949275,0.20954822,0.477843463,0.268295243,0.3393676,0.080773281,4.751146406
16,00039,16,21,0.184423912,0.296345919,0.675772667,0.379426748,0.514237735,0.107555212,10.79899243
17,00040,17,12,0.105385093,0.468564063,0.655989707,0.187425643,0.576704127,0.050945968,6.920449525
18,00041,18,23,0.201988094,0,0.477843463,0.477843463,0.267750484,0.135726084,6.158261143
19,00042,19,4,0.035128364,0.093712814,0.20954822,0.115835406,0.155804148,0.045511994,0.623216592
20,00043,20,7,0.061474637,0.187425628,0.386387825,0.198962197,0.311734104,0.06665724,2.182138726
21,00044,21,8,0.070256728,0.20954822,0.468564063,0.259015843,0.321366277,0.087164292,2.570930213
22,00045,22,4,0.035128364,0.093712814,0.20954822,0.115835406,0.155804148,0.045511994,0.623216592
23,00047,23,3,0.026346273,0.570032775,0.628644645,0.05861187,0.597123086,0.024132479,1.791369259
24,00048,24,6,0.052692546,0.20954822,0.477843463,0.268295243,0.337685851,0.08633574,2.026115105
25,00049,25,10,0.087820911,0.41909644,0.662649632,0.243553191,0.553396934,0.079964231,5.533969343
26,00050,26,4,0.035128364,0.570032775,0.628644645,0.05861187,0.596015275,0.020987237,2.384061098
27,00051,27,6,0.052692546,0.187425628,0.386387825,0.198962197,0.289282878,0.074833206,1.735697269
28,00052,28,2,0.017564182,0.296345919,0.337886333,0.041540414,0.317116126,0.020770207,0.634232253
29,00053,29,17,0.149295548,0.132529929,0.337886333,0.205356404,0.214097217,0.065360224,3.639652684
30,00054,30,3,0.026346273,0.337886333,0.397589773,0.059703439,0.35778748,0.028144471,1.07336244
31,00055,31,8,0.070256728,0.337886333,0.546434879,0.208548546,0.461153671,0.068513066,3.689229369
32,00056,32,6,0.052692546,0.28113842,0.374851257,0.093712837,0.314910615,0.0427241,1.889463693
33,00057,33,5,0.043910455,0.374851257,0.600054801,0.225203544,0.455560285,0.092218631,2.277801424
34,00058,34,2,0.017564182,0.386387825,0.41909644,0.032708615,0.402742133,0.016354308,0.805484265
35,00059,35,10,0.087820911,0.386387825,0.662649632,0.276261806,0.546816319,0.081293798,5.468163192
36,00060,36,19,0.16685973,0.187425628,0.56227684,0.374851212,0.352894327,0.108715726,6.70499222
37,00061,37,1,0.008782091,1.009317875,1.009317875,0,1.009317875,0,1.009317875
38,00063,38,2,0.017564182,0.187425628,0.20954822,0.022122592,0.198486924,0.011061296,0.396973848
39,00064,39,11,0.096603002,0.187425628,0.504658937,0.317233309,0.371594808,0.105890732,4.087542892
40,00065,40,4,0.035128364,0.20954822,0.337886333,0.128338113,0.273408208,0.045730126,1.093632832
41,00066,41,19,0.16685973,0.20954822,0.570032775,0.360484555,0.434647445,0.103723735,8.258301452
42,00067,42,4,0.035128364,0,0.296345919,0.296345919,0.14437109,0.109953757,0.577484362
43,00069,43,36,0.316155278,0.397589773,0.889037788,0.491448015,0.637149341,0.136939393,22.93737626
44,00070,44,15,0.131731366,0.41909644,0.755536854,0.336440414,0.606635195,0.098100236,9.099527925
45,00071,45,17,0.149295548,0.187425628,0.468564063,0.281138435,0.319132189,0.074873962,5.425247207
46,00072,46,36,0.316155278,0.265059859,1.325299263,1.060239404,0.855546572,0.303468207,30.7996766
47,00073,47,13,0.114167184,0.187425628,0.41909644,0.231670812,0.316259208,0.068481079,4.111369699
48,00074,48,47,0.41275828,0.187425628,0.755536854,0.568111226,0.441849937,0.135431205,20.76694703
49,00076,49,24,0.210770185,0.570032775,1.260776877,0.690744102,0.925781928,0.186214902,22.21876627
50,00077,50,7,0.061474637,0.265059859,0.77277565,0.507715791,0.510629807,0.170488145,3.57440865
51,00084,51,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
52,00087,52,3,0.026346273,0.20954822,0.337886333,0.128338113,0.281260158,0.053468701,0.843780473
53,00097,53,15,0.131731366,0.468564063,0.731920481,0.263356417,0.581737697,0.080154167,8.726065457
54,00098,54,1,0.008782091,0.655989707,0.655989707,0,0.655989707,0,0.655989707
55,00100,55,1,0.008782091,0.093712814,0.093712814,0,0.093712814,0,0.093712814
56,00116,56,3,0.026346273,0.386387825,0.397589773,0.011201948,0.390121808,0.005280649,1.170365423
57,00121,57,2,0.017564182,0.600054801,0.662649632,0.062594831,0.631352216,0.031297415,1.262704432
58,00125,58,76,0.66743892,0.337886333,1.341763258,1.003876925,0.786091357,0.262731609,59.74294311
59,00126,59,3,0.026346273,0.84341532,0.941802084,0.098386765,0.90744851,0.045318492,2.722345531
60,00127,60,15,0.131731366,0.265059859,0.592691839,0.32763198,0.40003855,0.089441765,6.000578254
61,00128,61,5,0.043910455,0.504658937,0.675772667,0.171113729,0.591113186,0.060210097,2.955565929
62,00130,62,18,0.158077639,0.093712814,0.337886333,0.244173519,0.180245614,0.067760302,3.24442105
63,00132,63,46,0.403976189,0.468564063,1.185383677,0.716819614,0.809328842,0.198355129,37.22912675
64,00133,64,13,0.114167184,0.504658937,0.84341532,0.338756382,0.651092488,0.098887621,8.464202344
65,00134,65,22,0.193206003,0.296345919,0.600054801,0.303708881,0.481650572,0.082011747,10.59631258
66,00135,66,97,0.851862833,0.132529929,1.128451705,0.995921776,0.665218733,0.239644461,64.52621712
67,00137,67,11,0.096603002,0.093712814,0.337886333,0.244173519,0.21064294,0.071614312,2.317072339
68,00138,68,6,0.052692546,0.265059859,0.504658937,0.239599079,0.381935259,0.088385808,2.291611552
69,00139,69,2,0.017564182,0.187425628,0.265059859,0.07763423,0.226242743,0.038817115,0.452485487
70,00141,70,2,0.017564182,0.20954822,0.296345919,0.086797699,0.25294707,0.04339885,0.505894139
71,00148,71,5,0.043910455,0.296345919,0.386387825,0.090041906,0.356371832,0.034894792,1.781859159
72,00151,72,4,0.035128364,0.187425628,0.296345919,0.108920291,0.225716997,0.041765812,0.902867988
73,00160,73,8,0.070256728,0.265059859,0.570032775,0.304972917,0.43589345,0.098941744,3.487147599
