XCoord,YCoord,JOIN_COUNT,ZIPCODE
-83.61511443,41.31279856,0,43451
-82.96679788,41.51517812,1,43452
-82.82293964,41.66843077,0,43456
-83.42746112,41.26732608,0,43457
-83.21258691,41.53105097,0,43458
-83.56306565,41.60279441,0,43460
-83.71869405,41.28356844,0,43462
-83.50803437,41.50866495,0,43463
-82.93271461,41.40723108,0,43464
-83.50374072,41.57008894,0,43465
-83.51481601,41.29536345,0,43466
-83.48384101,41.24320276,0,43467
-83.34149253,41.59786717,0,43468
-117.7562331,45.33993366,0,97824
-119.5165826,44.38530238,0,97825
-119.2265848,45.65450741,0,97826
-117.8452681,45.58793323,0,97827
-117.2285723,45.70676035,1,97828
-120.1894229,44.9501424,0,97830
-118.0148957,44.92888721,0,97833
-117.1891066,44.96870513,0,97834
-118.7866115,45.91005445,0,97835
-119.5012583,45.29391876,1,97836
-118.0364114,44.51814078,0,97837
-119.2869169,45.85297772,1,97838
-119.5927489,45.59135404,0,97839
-116.927358,44.90615711,0,97840
-117.9449222,45.46511112,0,97841
-116.7486543,45.4673979,0,97842
-119.8978532,45.50480345,0,97843
-119.558446,45.87423554,0,97844
-118.9030421,44.40180349,1,97845
-117.0295841,45.46591164,0,97846
-119.5660424,44.67562143,0,97848
-118.1166921,45.30158611,1,97850
-119.1217246,44.80651351,0,97856
-117.5043689,45.37815351,0,97857
-118.4213339,45.52910618,0,97859
-118.3101775,45.92349408,0,97862
-119.4452949,44.84581435,0,97864
-119.191029,44.44718154,0,97865
-117.9954876,45.06907387,0,97867
-118.8709549,45.41185452,0,97868
-118.6205957,44.40190951,0,97869
-117.1878671,44.78893307,0,97870
-119.002863,44.1320479,0,97873
-119.8675014,44.77753902,0,97874
-119.1383164,45.81939925,0,97875
-118.0355151,45.51646494,0,97876
-118.3393815,44.79258346,0,97877
-118.8941253,45.08359891,0,97880
-119.3550262,45.89992969,1,97882
-117.6196368,45.15515831,0,97883
-122.4624745,37.78011939,3,94118
