ALABAMA,4898246
ALASKA,735720
AMERICAN SAMOA,55689
ARIZONA,7275070
ARKANSAS,3026412
CALIFORNIA,39747267
COLORADO,5770545
CONNECTICUT,3567871
DELAWARE,975033
DISTRICT OF COLUMBIA,711571
FLORIDA,29087070
GEORGIA,10627767
GUAM,162742
HAWAII,1416589
IDAHO,1790182
ILLINOIS,12700381
INDIANA,6718616
IOWA,3167997
KANSAS,2910931
KENTUCKY,4484047
LOUISIANA,4652581
MAINE,1342097
MARYLAND,6062917
MASSACHUSETTS,6939373
MICHIGAN,10020472
MINNESOTA,5655925
MISSISSIPPI,2987895
MISSOURI,6147861
MONTANA,1074532
NEBRASKA,1940919
NEVADA,3087025
NEW HAMPSHIRE,1363852
NEW JERSEY,8922547
NEW MEXICO,2096034
NEW YORK,19491339
NORTH CAROLINA,10497741
NORTH DAKOTA,760900
NORTHERN MARIANA ISLANDS,55144
OHIO,11718568
OKLAHOMA,3948950
OREGON,4245901
PENNSYLVANIA,12813969
PUERTO RICO,3113659
RHODE ISLAND,1056738
SOUTH CAROLINA,5147111
SOUTH DAKOTA,892631
TENNESSEE,6833793
TEXAS,29087070
UTAH,3221610
VERMONT,627180
VIRGIN ISLANDS,106405
VIRGINIA,8571946
WASHINGTON,7666343
WEST VIRGINIA,1791951
WISCONSIN,5832661
WYOMING,572381
